dist_decile,mean_dist_from_center,n_dies,fail_rate,metric,edge_decile,neigh_density_bin_m3
0.0,0.19952892660696975,15496,0.02813629323696438,dist_from_center_decile,,
1.0,0.35988942045438754,15313,0.034545810749036766,dist_from_center_decile,,
2.0,0.46423902951674934,15404,0.03830173980784212,dist_from_center_decile,,
3.0,0.549288381186967,15486,0.04010073614877954,dist_from_center_decile,,
4.0,0.622225600032757,15332,0.03926428385076963,dist_from_center_decile,,
5.0,0.6877911433255545,15402,0.04220231138813141,dist_from_center_decile,,
6.0,0.7479850997066191,15400,0.044025974025974024,dist_from_center_decile,,
7.0,0.8047033812173824,15412,0.04872826369063068,dist_from_center_decile,,
8.0,0.8611705619778017,15389,0.05094548053804666,dist_from_center_decile,,
9.0,0.9292649378281186,15403,0.057001882750113614,dist_from_center_decile,,
,0.16236473674683818,16855,0.030020765351527735,edge_proximity_decile,0.0,
,0.3197274602659803,14283,0.03227613246516838,edge_proximity_decile,1.0,
,0.4188572392586638,15142,0.0375775987320037,edge_proximity_decile,2.0,
,0.5085941012675601,17124,0.040703106750759166,edge_proximity_decile,3.0,
,0.5837031594075236,15283,0.04082968003664202,edge_proximity_decile,4.0,
,0.6495258034699001,15070,0.04426011944260119,edge_proximity_decile,5.0,
,0.7077146959034807,14721,0.04639630459887236,edge_proximity_decile,6.0,
,0.7716987484946543,16686,0.04818410643653362,edge_proximity_decile,7.0,
,0.8430852120238449,13705,0.052243706676395475,edge_proximity_decile,8.0,
,0.9359230590129127,15168,0.05221518987341772,edge_proximity_decile,9.0,
,0.037090326942963964,125710,0.04058547450481267,neigh_old_fail_density_m3_bin,,0.0
,0.29757319703395885,28327,0.05002294630564479,neigh_old_fail_density_m3_bin,,1.0
