threshold,is_frozen_threshold,fail_precision,fail_recall,fail_f1,pass_precision,pass_recall,pass_f1,overall_accuracy,predicted_fail_count,predicted_pass_count
0.6,False,0.991859468723222,0.35511581530909647,0.522986558228849,0.9722879573904274,0.9998712021583807,0.985886685760692,0.9725845089166888,2334,151703
0.61,False,0.9935594675826535,0.3549624175487038,0.5230560578661845,0.9722822791151422,0.9998983174934585,0.9858969474577745,0.972603984756909,2329,151708
0.62,False,0.9939836699613236,0.3548090197883111,0.522948225186525,0.9722760529958473,0.9999050963272279,0.9858970417206946,0.972603984756909,2327,151710
0.63,False,0.996548748921484,0.354348826507133,0.5228018558334276,0.9722579241887964,0.9999457693298445,0.9859074913864261,0.9726234605971292,2318,151719
0.64,False,0.9969788519637462,0.354348826507133,0.5228610230873699,0.9722581070392828,0.9999525481636139,0.9859108803026352,0.9726299525438693,2317,151720
0.65,False,0.9969775474956822,0.3541954287467403,0.5226938313525751,0.9722516988419533,0.9999525481636139,0.9859075855754096,0.9726234605971292,2316,151721
0.66,False,0.9969749351771824,0.3538886332259549,0.5223593343145023,0.9722388827007111,0.9999525481636139,0.9859009961870197,0.9726104767036491,2314,151723
0.67,False,0.9974037213327563,0.3535818377051695,0.522083805209513,0.9722262499505688,0.9999593269973833,0.9858977957786956,0.972603984756909,2311,151726
0.68,False,0.9978345604157643,0.3534284399447768,0.5219755323969189,0.9722200253084466,0.9999661058311529,0.9858978900302762,0.972603984756909,2309,151728
0.69,False,0.9982661465106198,0.3532750421843841,0.5218672105143893,0.9722138008304224,0.9999728846649223,0.9858979842805967,0.972603984756909,2307,151730
0.7,False,0.9986990459670425,0.3532750421843841,0.5219263456090651,0.9722139839584528,0.9999796634986917,0.9859013731040037,0.9726104767036491,2306,151731
0.71,False,0.9986979166666666,0.3529682466635987,0.5215912954777286,0.9722011691589832,0.9999796634986917,0.98589478397733,0.9725974928101689,2304,151733
0.72,False,0.9991300565463245,0.35235465562202795,0.5209798140167838,0.9721757239452213,0.9999864423324611,0.9858849947870719,0.9725780169699488,2299,151738
0.73,False,0.9995644599303136,0.3520478601012425,0.5207033465683494,0.972163093692542,0.9999932211662306,0.9858817946995747,0.9725715250232088,2296,151741
0.74,False,0.9995642701525055,0.3518944623408498,0.5205355116859541,0.9721566870082113,0.9999932211662306,0.9858785003007419,0.9725650330764687,2295,151742
0.75,False,1.0,0.35128087129927904,0.5199228062209105,0.972131244769254,1.0,0.9858687116769418,0.9725455572362485,2290,151747
0.76,False,1.0,0.35082067801810096,0.5194185782421077,0.9721120263591433,1.0,0.9858588288757902,0.9725260813960283,2287,151750
0.77,False,1.0,0.34959349593495936,0.5180722891566265,0.9720607809802448,1.0,0.9858324757080421,0.9724741458221077,2279,151758
0.78,False,1.0,0.34913330265378123,0.5175667993177941,0.9720415653560532,1.0,0.9858225936333656,0.9724546699818875,2276,151761
0.79,False,1.0,0.3482129160914251,0.5165547843895779,0.972003136386698,1.0,0.9858028300783535,0.972415718301447,2270,151767
0.8,False,1.0,0.34744592728946155,0.5157103825136612,0.9719711145665867,1.0,0.9857863610544956,0.9723832585677467,2265,151772
0.81,False,1.0,0.3466789384874981,0.5148650187948514,0.9719390948562694,1.0,0.9857698925808984,0.9723507988340464,2260,151777
0.82,False,1.0,0.3454517564043565,0.5135104321058033,0.9718878677076127,1.0,0.9857435441676161,0.9722988632601258,2252,151785
0.83,False,1.0,0.3437643810400368,0.5116438356164383,0.9718174391947086,1.0,0.9857073173991192,0.972227451845985,2241,151796
0.84,False,1.0,0.34207700567571714,0.5097725454337638,0.9717470208883648,1.0,0.9856710932932431,0.9721560404318443,2230,151807
0.85,False,1.0,0.3399294370302194,0.5073840870062966,0.9716574123474354,1.0,0.9856249937361988,0.9720651531774833,2216,151821
0.86,False,1.0,0.3385488571866851,0.505844602337841,0.9715998155832181,1.0,0.9855953605836685,0.9720067256568227,2207,151830
0.87,False,1.0,0.3354809019788311,0.5024121295658167,0.971471847217649,1.0,0.98552951551268,0.9718768867220213,2187,151850
0.88,False,1.0,0.33394692437490414,0.5006899724011039,0.9714078756749638,1.0,0.9854965962762795,0.9718119672546206,2177,151860
0.89,False,1.0,0.33133916244822825,0.49775319737296925,0.9712991433857661,1.0,0.9854406386212194,0.9717016041600395,2160,151877
0.9,False,1.0,0.3271974229176254,0.4930651872399445,0.9711265009479672,1.0,0.9853517777584814,0.9715263215980576,2133,151904
