model,threshold,pooled_fail_f1,pooled_fail_precision,pooled_fail_recall,pooled_pr_auc,pooled_roc_auc,pooled_overall_accuracy,fold_fail_f1_mean,fold_fail_f1_std
Logistic Regression,0.42000000000000004,0.5267361881517639,0.9515030060120241,0.3641662831722657,0.5108075436667536,0.8404854563381431,0.9723053552068659,0.5277289785031218,0.011223211705025441
LightGBM,0.14,0.43502304147465437,0.6543438077634011,0.32581684307409114,0.40228866015698994,0.7634182636664196,0.9641839298350396,0.436157038131495,0.018850796871495407
ExtraTrees,0.11,0.3326226012793177,0.4918918918918919,0.25126553152323977,0.2844948509223003,0.7079014608425249,0.9573284340775269,0.33385975517965805,0.01584490503845194
