dataset,n_rows,n_cols,n_wafers,dies_per_wafer_min,dies_per_wafer_max,dies_per_wafer_mean,duplicate_rows,duplicate_wafer_row_col_coords,missing_values_total,has_old_label,n_eligible_old_label_0,n_excluded_old_label_1,has_target_label,n_pass_label0,n_fail_label1
train,173099,505,160,498,5340,1081.87,0,0,0,True,154037,19062,True,147518.0,25581.0
validation,39351,504,40,505,4096,983.78,0,0,0,True,32598,6753,False,,
