rank,feature,tp_mean,fn_mean,cohens_d,abs_cohens_d
1,feature_457,3.3014515679514336,3.1560225583950365,-0.5363274591832592,0.5363274591832592
2,feature_60,7.923831289689868,7.702015274021611,-0.5086947265131344,0.5086947265131344
3,feature_269,1403.334283579811,1371.1386587982788,-0.5073680347503152,0.5073680347503152
4,feature_189,-0.10760047223802578,-0.10492067690886606,0.4924799383714845,0.4924799383714845
5,feature_123,124.333198531359,128.80199778527208,0.48930831403653297,0.48930831403653297
6,feature_223,0.8477044451641508,0.8843615862980173,0.4851583805124803,0.4851583805124803
7,feature_276,1.3243634581694197,1.300506495706107,-0.4838916429857886,0.4838916429857886
8,feature_77,-45.47633811093585,-46.85966092168001,-0.4834827427413944,0.4834827427413944
9,feature_198,48.40802910048691,51.325148610932274,0.47858907885944557,0.47858907885944557
10,feature_236,-194.86593835207574,-209.60515832930253,-0.47075953798396847,0.47075953798396847
11,feature_433,494.73110160557724,506.02641548798806,0.4638012177518278,0.4638012177518278
12,feature_109,36.41682491715896,36.97451822944836,0.4626501446526089,0.4626501446526089
13,feature_190,3.2478045946506318,3.0480150608171606,-0.4577581950524237,0.4577581950524237
14,feature_472,4.9077421128609,4.654517787557968,-0.45640638293892494,0.45640638293892494
15,feature_320,5.1580613613785,5.288502838814006,0.45475692101767207,0.45475692101767207
16,feature_163,-80.23492692307636,-76.6966419519388,0.4534754506845212,0.4534754506845212
17,feature_385,980.282259464638,948.7332301446248,-0.4533210997826702,0.4533210997826702
18,feature_178,14.882024433132463,14.338234490318618,-0.45239416430353024,0.45239416430353024
19,feature_359,2719.7318344033965,2830.4622632314276,0.45048605850430423,0.45048605850430423
20,feature_227,3760.8191041696978,3578.3722688990597,-0.4471779201454242,0.4471779201454242
21,feature_396,0.4754046442547839,0.4804146146182728,0.4469156102573359,0.4469156102573359
22,feature_31,6.547338604208502,6.80676158635082,0.4459486566816772,0.4459486566816772
23,feature_436,347.22143511297287,351.41177714676473,0.43925009387074765,0.43925009387074765
24,feature_233,2072.2908088274085,2053.1822730151143,-0.43913196814404865,0.43913196814404865
25,feature_460,-28.698318545605364,-29.363903607389375,-0.4363994859444552,0.4363994859444552
26,feature_348,24.719471082473085,25.26188681441865,0.43576434427102656,0.43576434427102656
27,feature_159,1909.458177573381,1989.6999158757603,0.43561210141784606,0.43561210141784606
28,feature_284,0.16210771662317822,0.15228807973141034,-0.429381236072143,0.429381236072143
29,feature_229,4945.222803919276,4682.19961321743,-0.42899217119706035,0.42899217119706035
30,feature_132,84.17186286822574,86.69611127792291,0.428808781526187,0.428808781526187
31,feature_238,355.66797697608274,362.0805256755533,0.4277011048947728,0.4277011048947728
32,feature_43,0.22561190785036084,0.22996823065836755,0.42534979445478827,0.42534979445478827
33,feature_265,-7.69252446929315,-7.606834862379948,0.4249465196520431,0.4249465196520431
34,feature_290,15.115963957109877,15.7161560650069,0.4237702379455332,0.4237702379455332
35,feature_24,775.9337925356352,809.0705865588873,0.423215962570358,0.423215962570358
36,feature_245,3847.8891609154384,4035.2948381263072,0.4227149424759251,0.4227149424759251
37,feature_242,619.869461293029,589.2583269086673,-0.42258868171759784,0.42258868171759784
38,feature_337,-511.98002937074153,-526.8785979068015,-0.4216230714038174,0.4216230714038174
