rank,feature,tn_mean,fp_mean,cohens_d,abs_cohens_d
1,feature_116,2.987715767812577,3.2290446487823306,0.8414028994692154,0.8414028994692154
2,feature_361,0.10418157905815219,0.10919231424015959,0.6904899378879678,0.6904899378879678
3,feature_154,192.35516582643876,205.21125270697158,0.6255408568021614,0.6255408568021614
4,feature_433,506.6118865723334,492.9788041884313,-0.6142142095766644,0.6142142095766644
5,feature_238,362.44640478280513,353.27295031657815,-0.6004882915178981,0.6004882915178981
6,feature_441,174.97470037955563,178.37536063839684,0.5904108220550399,0.5904108220550399
7,feature_347,2.370254510285483,2.26798652712656,-0.568149926703199,0.568149926703199
8,feature_246,133.01144402322913,136.9029466122283,0.5553552687159039,0.5553552687159039
9,feature_457,3.1525131812168685,3.3076223812127066,0.5486412258889534,0.5486412258889534
10,feature_48,4348.498126782188,4763.782231147877,0.5444972488309531,0.5444972488309531
11,feature_46,2956.854539252451,2986.86721735572,0.5429689022987576,0.5429689022987576
12,feature_241,3629.438139891981,3901.5234502917106,0.5419137434848523,0.5419137434848523
13,feature_447,1293.4837712543067,1203.30621684793,-0.5387396484166719,0.5387396484166719
14,feature_205,7.88893323566072,8.306372721400392,0.5350025826027884,0.5350025826027884
15,feature_293,-155.9431306114957,-146.32976654358046,0.5286885427019006,0.5286885427019006
16,feature_478,1887.0383961765583,1814.5379145954441,-0.5228429024950704,0.5228429024950704
17,feature_91,25.29501065581904,24.113390602598525,-0.5222171613202502,0.5222171613202502
18,feature_254,16.00040198152616,15.294058702157995,-0.5218079599807026,0.5218079599807026
19,feature_234,0.3147235074626741,0.3306580122183034,0.5206507311510598,0.5206507311510598
20,feature_24,812.0929360497668,770.4158990332403,-0.5183682576986935,0.5183682576986935
21,feature_119,0.9347771008024587,0.890164680692827,-0.5175252779601237,0.5175252779601237
22,feature_137,1799.3022606532224,1744.9893350154725,-0.5111703927227377,0.5111703927227377
23,feature_178,14.256183840356934,14.834690176381391,0.5091951133170267,0.5091951133170267
24,feature_203,8.03632182461763,8.454549067941656,0.5084500793713217,0.5084500793713217
25,feature_77,-46.96845130559851,-45.50098848105938,0.5029031000208579,0.5029031000208579
26,feature_84,424.90304380068096,449.60279295735586,0.49680641981399876,0.49680641981399876
27,feature_297,2.7787064464769724,2.92867866312883,0.4952185044285618,0.4952185044285618
28,feature_221,0.3135049520731306,0.3089176120344117,-0.4917165995809316,0.4917165995809316
29,feature_404,45.808313938875635,43.35391248328698,-0.48977420249969295,0.48977420249969295
30,feature_350,716.3411686886158,756.2850559154795,0.48526052237266304,0.48526052237266304
31,feature_17,0.11729511092455598,0.10933525430019708,-0.4706321852154053,0.4706321852154053
32,feature_201,1.9157416361818789,1.7983915847362046,-0.47052548991860627,0.47052548991860627
33,feature_381,-19.9190340067187,-19.47856397084824,0.4693376577624735,0.4693376577624735
34,feature_44,489.7036866767447,515.1330685117184,0.46811443516113643,0.46811443516113643
35,feature_271,1.5150514631720469,1.486243214856689,-0.4679828807754106,0.4679828807754106
36,feature_243,1014.3757585132319,1073.0744094837528,0.4658016019665224,0.4658016019665224
37,feature_426,-0.30040651936708535,-0.3114363216981552,-0.46489299279971075,0.46489299279971075
38,feature_332,25.883968323894823,25.293521742645833,-0.46379965986375327,0.46379965986375327
39,feature_359,2842.1154858116515,2718.3199968562835,-0.4607560131657027,0.4607560131657027
40,feature_13,-138.97795398981353,-131.11425364757795,0.4569260116487385,0.4569260116487385
41,feature_280,9.36582776198855,9.758470680977865,0.456270285861597,0.456270285861597
42,feature_348,25.25097766711201,24.644717904690264,-0.4557338147697862,0.4557338147697862
43,feature_486,4933.032060314337,5220.824019424093,0.4532590300380468,0.4532590300380468
44,feature_295,0.3319711827851612,0.3407042641199918,0.45300611502298327,0.45300611502298327
45,feature_424,24.657748479936952,23.356449978025278,-0.4498287157077964,0.4498287157077964
46,feature_232,0.1189322901159976,0.11693059966612497,-0.4492091553166609,0.4492091553166609
47,feature_83,0.27220895211196555,0.28563129952141003,0.4423925171181527,0.4423925171181527
48,feature_248,0.7734059169509546,0.8067376836401051,0.43920747182022835,0.43920747182022835
49,feature_470,1.8972943995131293,1.8375931339996654,-0.4387150011911598,0.4387150011911598
50,feature_223,0.8882042720487245,0.8527208489724205,-0.43772844614513634,0.43772844614513634
51,feature_386,903.0064904450251,962.3695063461881,0.4373372340313689,0.4373372340313689
52,feature_325,0.3797651484025159,0.3730147760084588,-0.43603829757865536,0.43603829757865536
53,feature_308,237.4270269602785,228.06669070770684,-0.43549077837052247,0.43549077837052247
54,feature_419,1423.932970577116,1336.9862358679673,-0.4323321255080151,0.4323321255080151
55,feature_227,3581.4634174689645,3775.2869283610758,0.4313292969194125,0.4313292969194125
56,feature_183,-205.2931466718675,-195.0833683062897,0.42707519987142994,0.42707519987142994
57,feature_161,128.00899382638818,135.64147596827945,0.4267629051771342,0.4267629051771342
58,feature_126,3308.6539218550465,3200.6155169204044,-0.42351671209060127,0.42351671209060127
59,feature_463,8.808538797318892,9.239500944942366,0.4188978420445028,0.4188978420445028
60,feature_428,0.12766049404942928,0.1238056547552477,-0.41842190837959814,0.41842190837959814
61,feature_473,91.43277110122665,92.57803013777509,0.4179770144177211,0.4179770144177211
62,feature_445,0.11142998697098093,0.11555841268694998,0.41650599347143263,0.41650599347143263
63,feature_415,-1.7502446781467962,-1.6501605964120352,0.4149505880797462,0.4149505880797462
64,feature_152,1.091934246009177,1.0619039441468563,-0.41308721909636725,0.41308721909636725
65,feature_242,587.4429300373731,618.5809784414224,0.4109409651341506,0.4109409651341506
66,feature_52,-0.4392086384364317,-0.4284935539137848,0.4060997039403167,0.4060997039403167
67,feature_105,130.83425904698112,128.39203437979933,-0.40581391835201325,0.40581391835201325
68,feature_461,-3480.879060520861,-3691.973945268101,-0.4046295535678114,0.4046295535678114
69,feature_81,-942.8937332217715,-993.4229636176487,-0.40199995736357463,0.40199995736357463
70,feature_32,0.9219846338049487,0.9021754846120306,-0.39813344876055,0.39813344876055
71,feature_500,1.755139680619714,1.858673632769306,0.39593608251037643,0.39593608251037643
72,feature_210,2.892253660419712,2.9528981468137263,0.3945272423745672,0.3945272423745672
73,feature_6,-26.117971775166215,-27.315888997778682,-0.3935008253903864,0.3935008253903864
74,feature_55,7.2799502671704195,7.546357358844989,0.393265693637358,0.393265693637358
75,feature_376,-2400.76703554681,-2496.571680714349,-0.38866607264134756,0.38866607264134756
76,feature_284,0.1519296719091227,0.1603607239471209,0.3859361624300977,0.3859361624300977
77,feature_40,4957.96772152795,5056.99804686652,0.38246852177184826,0.38246852177184826
78,feature_202,10.508744803391535,10.18138242769818,-0.38134497514079185,0.38134497514079185
79,feature_282,5.228515151446578,5.15282805082174,-0.3796190684079833,0.3796190684079833
