fold,Logistic Regression,LightGBM,ExtraTrees
0,0.5243816254416961,0.4179471419791027,0.32759578012215435
1,0.5300642148277875,0.45610278372591,0.35281945162959133
2,0.513846153846154,0.4158563949139865,0.3113673805601318
3,0.5447556287753982,0.45277207392197116,0.3336766220391349
4,0.5255972696245734,0.4381067961165048,0.3438395415472779
