experiment,n_features,threshold,cv_fail_f1,cv_fail_precision,cv_fail_recall,cv_pr_auc,cv_roc_auc
"reference (502, t=0.42)",502,0.42,0.5267361881517639,0.9515030060120241,0.3641662831722657,0.5108075436667536,0.8404854563381431
3x3-only (507),507,0.46,0.5264800981157319,0.9636734693877551,0.3621721122871606,0.5127912218164143,0.8424706730067137
5x5-only (507),507,0.38,0.5260502358231874,0.9230177059276367,0.3678478294216904,0.5127882081394063,0.8424447815844058
3x3+5x5 (510),510,0.38,0.5264773599386032,0.9227517294388932,0.36830802270286855,0.5127757057780251,0.8423096468486323
