experiment,class_weight,threshold,cv_fail_f1,cv_fail_recall,cv_fail_precision,cv_pr_auc,cv_roc_auc,test_fail_f1,test_fail_recall,test_fail_precision,test_pass_f1,test_overall_accuracy,test_pr_auc,test_roc_auc
"baseline (balanced, t=0.5)",balanced,0.5,0.24168532355083214,0.6872219665592882,0.14662564639654382,0.5099908689917508,0.8407254555456882,0.24940168787000883,0.717391304347826,0.150937642933374,0.8959253890354018,0.817197374072029,0.523889936794845,0.8555796033689222
"A: unweighted, t=0.5",None,0.5,0.5250168274624187,0.35895075931891396,0.9770354906054279,0.5108075436667536,0.8404854563381431,0.5300950369588173,0.36376811594202896,0.9766536964980544,0.9859404126251934,0.9726977115160439,0.5273516705455241,0.8590330411384736
"B: unweighted, tuned t",None,0.42000000000000004,0.5267361881517639,0.3641662831722657,0.9515030060120241,0.5108075436667536,0.8404854563381431,0.5321484579194983,0.36884057971014494,0.9549718574108818,0.9858571812335065,0.9725443278728756,0.5273516705455241,0.8590330411384736
"C: balanced, tuned t",balanced,0.93,0.5260726072607261,0.36677404509894157,0.9299883313885647,0.5099908689917508,0.8407254555456882,0.5306971904266389,0.3695652173913043,0.940959409594096,0.9857445396213295,0.9723295907724401,0.523889936794845,0.8555796033689222
